ID,Glycan,Symbol,Kd,1/Kd,SD,
L1,?-D-Gal-(1?4)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?D-Glc,,0.454545455,2.2,0.4,
L2,?-D-Neu5Ac(2?3)-?-D-Gal(1?3)-[?-L-Fuc(1?4)]-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?D-Glc,,3.333333333,0.3,0.1,
,,,,,,
L3,?-L-Fuc(1?2)-?-D-Gal(1?3)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc,,1.428571429,0.7,0.1,
L4,?-D-Gal(1?3)-[?-L-Fuc(1?4)]-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc,,2.5,0.4,0.1,
,,,,,,
L5,?-D-Gal-(1?4)-?-D-GlcNAc-(1?3)-?-D-Gal-(1?4)-?-D-GlcNAc-(1?3)- ?-D-Gal-(1?4)-?-D-GlcNAc-(1?3)-?-D-Gal-(1?4)-?-D-Glc,,0.769230769,1.3,0.1,
L6,?-D-Gal(1?4)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc ,,0.833333333,1.2,0.1,
L7,?-D-Gal-(1?4)-[?-L-Fuc-(1?3)]-?-D-GlcNAc-(1?3)-?-D-Gal-(1?4)-?-D-Glc,,1.428571429,0.7,0.1,
,,,,,,
L8,?-D-Gal(1?4)-?-D-GlcNAc(1?6)-[-?-D-Gal(1?4)-?-D-GlcNAc(1?3)]-?-DGal(?1?4)-?-D-Glc,,0.333333333,3,0.2,
,,,,,,
L9,?-D-Gal(1?3)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc,,0.188679245,5.3,0.9,
L10,?-D-Gal-(1?4)-[?-L-Fuc-(1?3)]-?-D-GlcNAc-(1?6)-[?-L-Fuc-(1?2)-?-D-Gal-(1?3)-?-D-GlcNAc-(1?3)]-?-D-Gal-(1?4)-?-D-Glc,,0.833333333,1.2,0.1,
,,,,,,
L11,?-D-Neu5Ac(2?3)-?-D-Gal(1?3)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc,,0.5,2,0.1,
L12,?-D-Neu5Ac(2?3)-?-D-Gal(1?4)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc,,1.111111111,0.9,0.1,
L13,?-L-Fuc-(1?2)-?-D-Gal-(1?3)-[?-L-Fuc-(1?4)]-?-D-GlcNAc-(1?3)-?-D-Gal(1?4)-?D-Glc,,5,0.2,0.1,
,,,,,,
L14,?-L-Fuc-(1?2)-?-D-Gal-(1?3)-[?-D-Neu5Ac-(2?6)]-?-D-GlcNAc-(1?3)-?-D-Gal-(1?4)-?-D-Glc,,5,0.2,0.1,
L15,?-D-Neu5Ac(2?6)-?-D-Gal(1?4)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc,,5,0.2,0.1,
L16,?-L-Fuc-(1?2)-?-D-Gal-(1?4)-?-D-Glc,,1,1,0.1,
,,,,,,
L17,?-D-Gal(1?3)-?-D-GlcNAc(1?3)-?-D-Gal(1?4)-[?-L-Fuc(1?3)]-?-D-Glc,,1.428571429,0.7,1.1,
,,,,,,
L18,?-D-Neu5Ac-(2?3)-?-D-Gal(1?4)-?-D-Glc,,1.111111111,0.9,0.1,
L19,?-D-GlcNAc(1?3)-?-D-Gal(1?4)-?-D-Glc,,2.5,0.4,0.1,
